onset	duration	nwb_table	reward_time	left_or_right
28.5384	3.4304000000000023	trials	37.1592	Right
51.2632	6.091200000000001	trials	62.4264	Right
80.4904	7.1640000000000015	trials	92.5832	Right
112.82	1.9320000000000022	trials	120.2568	Left
143.4088	4.985599999999977	trials	153.716	Left
235.0576	13.064799999999991	trials	253.428	Left
283.9744	2.1023999999999887	trials	291.2648	Right
307.4472	2.800799999999981	trials	315.252	Right
355.6872	4.383199999999988	trials	365.0696	Right
411.944	5.23679999999996	trials	422.9512	Left
459.6536	4.384800000000041	trials	469.6712	Left
500.0784	10.582400000000007	trials	516.2632	Right
535.4632	8.079999999999927	trials	549.0056	Right
567.1144	4.745599999999968	trials	577.8568	Left
618.5616	1.2960000000000491	trials	625.4984	Left
672.9928	0.35599999999999454	trials	678.3368	Left
709.2688	7.308799999999906	trials	726.1832	Right
754.0976	3.7007999999999583	trials	764.02	Right
786.416	1.5751999999999953	trials	793.3064	Left
812.1712	15.926400000000058	trials	833.2936	Right
853.7424	4.61200000000008	trials	864.756	Right
887.7088	1.846400000000017	trials	895.6296	Left
985.6856	4.0079999999999245	trials	996.084	Left
1025.0512	10.05679999999984	trials	1040.884	Right
1059.5888	9.627999999999929	trials	1075.086	Right
1104.364	5.619199999999864	trials	1115.61	Right
1138.1768	1.8928000000000793	trials	1145.614	Left
1179.5664	15.236000000000104	trials	1201.242	Right
1228.472	0.4136000000000877	trials	1236.084	Left
1276.5672	2.077600000000075	trials	1285.799	Left
1317.9008	9.988800000000083	trials	1334.414	Right
1366.1896	0.15200000000004366	trials	1372.225	Left
1410.0824	0.4336000000000695	trials	1416.743	Left
1446.6848	11.060799999999972	trials	1467.662	Right
1537.788	6.2503999999999	trials	1550.094	Right
1582.1296	2.3951999999999316	trials	1591.95	Left
1625.3768	1.2647999999999229	trials	1633.985	Left
1664.7192	5.7560000000000855	trials	1677.018	Right
1698.3032	1.2952000000000226	trials	1705.742	Left
1749.0248	1.4184000000000196	trials	1759.502	Right
1800.8304	0.43679999999994834	trials	1807.425	Left
1837.6376	6.741600000000062	trials	1851.918	Right
1944.52	4.423199999999952	trials	1954.804	Left
