onset	duration	nwb_table	reward_time	left_or_right
43.5952	7.244	trials	55.8216	Left
67.568	15.849599999999995	trials	90.3048	Left
110.5272	4.764800000000008	trials	122.0232	Left
136.5952	2.9183999999999912	trials	144.7816	Right
159.9208	6.76479999999998	trials	171.8408	Right
189.2872	2.024799999999999	trials	196.724	Right
210.7104	5.644800000000004	trials	222.3496	Left
359.0872	16.355200000000025	trials	379.6872	Right
392.648	5.205599999999947	trials	402.7272	Right
416.2904	1.9216000000000122	trials	425.1528	Left
471.7224	9.775199999999984	trials	486.9	Left
505.5	6.41840000000002	trials	516.468	Right
546.468	0.8215999999999894	trials	553.4344	Right
566.8784	4.647999999999911	trials	578.548	Right
594.6176	7.495199999999954	trials	610.1896	Left
672.3896	10.208000000000084	trials	689.0376	Left
700.5816	7.268800000000056	trials	713.2552	Right
730.24	9.737600000000043	trials	749.9144	Left
807.6872	8.893599999999992	trials	822.4392	Left
855.7728	2.0720000000000027	trials	862.5544	Right
892.2736	4.526399999999967	trials	902.772	Right
916.3784	6.892799999999966	trials	929.7288	Left
942.464	2.7831999999999653	trials	950.7464	Right
979.2688	5.815199999999891	trials	990.5288	Right
1010.8896	12.89280000000008	trials	1030.337	Left
1081.8464	14.7800000000002	trials	1101.94	Left
1117.7296	1.694400000000087	trials	1126.721	Right
1153.2008	7.1599999999998545	trials	1167.681	Left
1213.616	2.539199999999937	trials	1221.876	Left
1507.4016	0.6720000000000255	trials	1513.255	Left
1572.7776	0.6872000000000753	trials	1577.87	Right
